Abbreviation,Full-Form,Type,Pronunciation
AA,Account Aggregator,initialism,
AAI,Airports Authority of  India,initialism,
AAY,Antyodaya Anna Yojana,initialism,
AB-PMJAY,Ayushman Bharat -Pradhan Mantri Jan Arogya Yojana,initialism,
ABDM,Ayushman Bharat Digital Mission,initialism,
ABP,Aspirational Blocks Programme,initialism,
ABRY,Aatmanirbhar Bharat Rojgar Yojana,initialism,
ACC,Advance Chemistry Cell,initialism,
ADB,Asian Development Bank,initialism,
ADGM,Abu Dhabi Global Market,initialism,
ADP,Aspirational Districts Programme,initialism,
ADTT,Analogue & Digital Terrestrial Transmitters,initialism,
ADs,Aspirational Districts,initialism,
AE,Advanced Estimates,initialism,
AEs,Advanced Economies,initialism,
AFSA,Albanian Financial Supervisory Authority,initialism,
AGEY,Aajeevika Grameen Express Yojana,initialism,
AHF,Affordable Housing Fund,initialism,
AHIDF,Animal Husbandry Infrastructure Development Fund,initialism,
AI,Artificial Intelligence,initialism,
AI/ML,Artificial Intelligence and Machine Learning,initialism,
AIDC,Agriculture Infrastructure and Development Cess,initialism,
AIF,Agriculture Infrastructure Fund,initialism,
AIIMS,All India Institute for Medical Sciences,acronym,
AIM,Atal Innovation Mission,acronym,
AIR,All India Radio,acronym,
AISHE,All India Survey on Higher Education,initialism,
AKAM,Azadi ka Amrit Mahotsav,acronym,
AMF,Autorite Des Marches Financiers of  France,initialism,
ANB,Aatmanirbhar Bharat,initialism,
APB,Aadhaar Payment Bridge,initialism,
APEDA,Agricultural & Processed Food Products Export Development Authority,initialism,
API,Application Programming Interfaces,initialism,
APIs,Application Programming Interface,initialism,
APY,Atal Pension Yojana,initialism,
AQR,Asset Quality Review,initialism,
ARR,Average Revenue Rate,initialism,
ASEAN,Association of  Southeast Asian Nations,acronym,
ASEEM,Aatmanirbhar Skilled Employees Employer Mapping,acronym,
ASI,Annual Survey of  Industries,initialism,
ATMP,"Assembly, Testing, Marking, and Packaging",initialism,
AePS/AEPS,Aadhaar Enabled Payment System,initialism,
AfCFTA,African Continental Free Trade Area,initialism,
Annual,Report 2022–23,acronym,
