Abbreviation,Full-Form,Type,Pronunciation
.BMP,Bitmapped image format (Microsoft Corp.),initialism,
.CDR,CorelDraw format,initialism,
.CGM,Computer graphics metafile,initialism,
.GIF,Graphics Interchange File; Graphics Interchange Format,acronym,
.HGL,Newlett-Packard Graphics Language format,initialism,
.IMG,ADRG image format (USDMA),initialism,
.JPEG,Joint Photographic Experts Group format,acronym,J PEG
.JPG,Joint Photographic Experts Group format,initialism,
.MSP,Microsoft Paint format,initialism,
.MP4,MPEG-4 format,initialism,
.PCX,PC Paintbrush Export Format,initialism,
.PDF,,initialism,
.PGM,Portable Graymap (format),initialism,
.PIC,Lotus 1-2-3 Picture Format,acronym,
.PNG,Portable Network Graphics (format),initialism,
.TIF,Tagged Image File,initialism,
.WMF,Windows Metafile Format,initialism,
.WPG,WordPerfect Graphic format,initialism,
.jgw,JPEG with World File,initialism,
3D,Three-dimensional,initialism,
A,Army,initialism,
A IN B,Auto in basement,initialism,A IN B
A&E,Architect and Engineering,initialism,A&E
A-DCS,Advanced/Data Collection System,initialism,A-DCS
A-S,Anti-spoofing,initialism,A-S
A.C.,Antonio Castro,initialism,A.C.
A.N.A.,Asociacion Nacional Automovilistica (Mexico),initialism,A.N.A.
A.P.D.R.,Avec privilege du Roi = By license of the King,initialism,A.P.D.R.
A.Z.,Alexander Zakreski,initialism,A.Z.
A/C,Aircraft,initialism,A/C
A/D,Analog to digital,initialism,A/D
A/E,Architectural/engineering,initialism,A/E
AA,Antiaircraft artillery; Automobile Assn.,initialism,
AAA,Agricultural Adjustment Administration; American Automobile Assn.,initialism,
AACCCM,Anglo-American Cataloguing Committee for Cartographic Materials,initialism,
AACR,Anglo-American Cataloguing Rules,initialism,
AACR2,Anglo-American Cataloguing Rules 2d. ed.,initialism,
AAES,American Assn. of Engineering Societies,initialism,
AAG,Assn. of American Geographers,initialism,
AAGS,American Assn. for Geodetic Surveying,initialism,
AAPG,American Assn. of Petroleum Geologists,initialism,
AARLS,Arkansas Assn. of Registered Land Surveyors,initialism,
AARS,Asian Assn. on Remote Sensing,initialism,
AARSE,African Association for the Remote Sensing of the Environment,initialism,AAR SE
AASG,Assn. of American State Geologists,initialism,
AASP,American Assn. of Stratigraphic Palynologists,initialism,
AB,Air base,initialism,
ABAG,Assn. of Bay Area Governments (California),initialism,
ABET,"Accreditation Board for Engineering and Technology, Inc.",acronym,A BET
ABN,American Bank Note Company,initialism,
ABS,Australian Bureau of Statistics,initialism,ABS
ABSM,Alberta Bureau of Surveying and Mapping,initialism,
AC,Aerospace Center; Air Corps; American Cartographer (journal),initialism,
AC&C,Office of Aeronautical Charting and Cartography (U.S.),initialism,AC&C
ACA,American Cartographic Assn.; American Conservation Assn.; Automovil Club Argentino; Aerial Cartographics of America (Firm),initialism,
ACACC,Assn. des cartoth`eques et archives cartographiques du Canada = Assn. of Canadian Map Libraries and Archives,initialism,
ACAPS,Automated Chart Production System (C&GS),acronym,A CAPS
ACC,Association canadienne de cartographie,initialism,
ACCDTS,Advisory Committee on Canadian Digital Toponymic Services,initialism,
ACD,Aeronautical Charting Division (C&GS),initialism,
ACDDS,Advanced Cartographic Data Digitizing System,initialism,
